,sentences
16473,little learn c
16474,ruin like japanese banquet head gorbachev
16475,drop present warming house instead find grapple local oaf
16476,oh bring commie friend help fight dirty eh
16477,mikhail wig head memoir
16478,george straw apologize homer right
16479,bar weakness russians
16480,sorry spank boy homer
16481,woo hoo face bush apologize tax hike
16482,shame work marge george feel neighborhood bring bad
16483,pleased meet move jerry ford
16484,president gerald ford ' er homer simpson
16485,homer like football
16486,yes mr ford
16487,come watch game nacho beer
16488,jerry think go to fi
16489,ai que agonia
16490,oh want corn
16491,ai dio ama
16492,huh wanna broadcast oscillator thing
16493,sit break touch
16494,yay get new tv
16495,let sharp image get tv shape like fifty diner
16496,let nature company get tv assemble hopi indians
16497,afford shop store philosophy need tv go outlet mall ogdenville
16498,look low low price famous brand electronic
16499,sap dad crappy knock off
16500,know genuine panaphonic look magnetbox sorny
16501,listen go lie superior machine like watch tv mean watch want carnival feature pronged wall plug pre molded hand grip durable outer case prevent fall apart
16502,sell wrap start bringin ' penny
16503,honey think clothe
16504,hey brandine wear shirt work
16505,oh cletus know got to wear shirt dairy queen
16506,oh beautiful real chanel
16507,oh look sophisticated like mary hart
16508,fit like dream afford bargain right buy suit wear maybe
16509,come mom treat
16510,oh sure treat sanka day ago real find
16511,alright buy good economy
16512,like oh love wear someplace special
16513,point go go to wind
16514,oh mrs simpson look prosperous today interest impulse item cash register crazy motorize wiggle pen look craziness
16515,attendant like gas
16516,yes sorry speak english okay
16517,yes yes hot dog hot dog yessir sir maybe okay
16518,pump call triple
16519,little overwhelmed hard
16520,marge marge bouvi high school
16521,yeah hi evelyn
16522,marge look wonderful think hear marry homer simpson
16523,ninety percent time gas pump problem
16524,automotive skill fashion sense come long way girl know high school
16525,run different crowd debutante ball skinny dipping home shoe repair course
16526,oh change bit far know drop country club tomorrow
16527,oh bring family
16528,fill petroleum distillate vulcanize tyre post haste
16529,bart comb hair homer think wear short sleeve shirt tie
16530,detective sipowicz jump cliff
16531,country club hotbed exclusionist snob status seek social climber
16532,tell like word hotbe lisa rarely thing like everybody everybody good behavior bart grifting
16533,wow livin ' large
16534,ohhh dream come everybody smile know go fit right
16535,oh marge wear lovely suit
16536,karen gillian elizabeth patricia roberta susan meet marge
16537,pleased meet look like happy bunch people
16538,oh remind funny apron see
16539,uh know marge family stand alcove
16540,free enjoy club
16541,uh come kid let sit car ' til mom fitting
16542,eliza beth right shout hoarse incompetent salesclerk nearly mail order
16543,mmm hmm will eat ship overnight vermont washington state
16544,order steak new yorker
16545,sneak suspicion l l bean eddie bauer sell honey
16546,food mail different way month good housekeeping arrive mailbox burst recipe satisfying meal cook
16547,hmmm true marge night wif come home late decide wake iris instead microwave soup
16548,course horrible mess iris mind clean
16549,oh iris gem hooray wif thurston like wif
16550,everybody wonderful time think opulent like playboy mansion non sexual
16551,place weird man bathroom keep hand towel ' til pay stop
16552,hold long boy
16553,yes well socially well fit well today rest different good job fit good evelyn give guest pass ask join
16554,boy marge number rich sucker
16555,oh thank thank beautiful new suit
16556,fritz idiot order bologna sandwich order abalone sandwich
16557,know mom think country club scene decadent
16558,spoil brat smug complacent parent reinforce unspoken class system horse sit high horse sorry get to
16559,queen heart believe rest
16560,play stop change different suit
16561,think change suit go fashion eh marge
16562,know homer traditional way cheat golf lower score
16563,club pro tom kite about pointer game want think
16564,wow impressive natural mr simpson
16565,uh huh need set club
16566,stay hell locker shoe
16567,marge know kennedy lincoln handicap
16568,homer alter suit look different tomorrow
16569,slap bumper sticker come bed willya marge
16570,love outfit marge vest say let lunch culotte pay
16571,mom look find fun complain
16572,marge family fitting perfectly go saturday ball love sponsor membership
16573,oh dream come true bell
16574,bell exactly attach mangle chanel suit
16575,oh worry marge idea wit incisive observation humorously phrase deliver impeccable timing sure smash ball know lovely new outfit
16576,hey mighty fine chippin ' homer
16577,yeah ya bank handicapped stall
16578,hmmm lavatory linksman smither
16579,homer simpson sir fork spoon operator sector g
16580,certainly get loose waggle finally find golfer worthy match monty burn eh
16581,oh waggle match sir see lose game ' let richard nixon win kind sir
16582,oh look forlorn smither oh prison monty eat alive
16583,wonder homer nixon relation
16584,unlikely sir spell pronounce name differently
16585,bah schedule game ask
16586,oh game mean big thing marge beat mr burns mean wallop bad sure big raise gun
16587,right right win scene dance woo hoos afford single slip judge
16588,mom like horse age because hear
16589,know lisa tonight important mommy alter suit look like totally new
16590,mom want know reason like horse well car horse
16591,need concentrate lisa mind
16592,know horse go like mom like mom
16593,  alter time nearly impossible
16594,mom mom mom mom mom
16595,time like guess laugh
16596,need formal dress tonight
16597,come right place
16598,get classy dud ying yang
16599,get cigarette burn patch -PRON- nu vinyl
16600,mmm bit peppery maybe pile
16601,originally halloween costume find way regular rotation
16602,good morning mr burns beautiful day outside
16603,rant simpson vainglorious boasting add savor inevitable triumph
16604,yes deep d'oh
16605,perfect sir right green
16606,oh quit cogitating steinmetz use open faced club sand wedge
16607,mmm open faced club sand wedge
16608,oh cunning stratagem sir curve right green
16609,get green shot
16610,old man hit far
16611,head ignore distraction
16612,miss miss chanel suit high quality clothe
16613,madam shipment slightly burn sear activewear come afternoon
16614,cripe man green shot
16615,ball uh uh reptile egg ooh step away endanger
16616,reptile egg cheat matter mr burns hit ball fresh green
16617,cheat good lord smither patently unnecessary world fine golfer year caddy lose oh
16618,good golfer wait'll tell stink
16619,know homer mr burns hold lot sway club quiet alleged decade cheating sure support application membership tonight
16620,bull honkey care join stupid club
16621,know kind welcome
16622,mom lookin ' fab u lous
16623,yeah look great sewing machine
16624,mean new dress
16625,wow find store odd
16626,drive main building get valet parking tonight
16627,drive dent coat hanger antenna stop car walk
16628,marge valet maybe sir add make scene
16629,go to regale anecdote know try radio heh heh go to bleep time
16630,go to pose italian count old lady leave money
16631,go to ask people know servant ' name case butler
16632,tonight vulgarity mischief politic good
16633,sorry mom behave
16634,will okay honey
16635,kid thank mother well person awful
16636,oh homie like face humanity like way lisa speak mind like bart like bart like old green dress spend saving stupid gown
16637,worry save receipt credit chanel
16638,beer gum right
16639,come let want join club member
16640,okay snob member
16641,wonder marge miss initiation
16642,hope attempt destroy seriously
16643,homer oh think spend afternoon bake cake
16644,hey guy come prom
16645,know realize comfortable place like
16646,man crazy place dump
16647,offer condolence untimely passing great aunt hortense live heir stand inherit entire estate
16648,poor aunt hortense woo hoo woo hoo
16649,stipulation spend night haunted house
16650,oh somewhat unusual
16651,luckily thing ghost
16652,yes thing ghost
16653,good night sleep
16654,tap water taste well
16655,dollar rest go ann lander stipulate aunt
16656,oh sorry continue talk leave office
16657,go spend money kid
16658,special taco tacomat taco dollar go to
16659,go contribute money corporation public broadcasting
16660,tacos public broadcasting will kid throw money away like come downtown go to money bank
16661,boy sure taco right
16662,yes provide adequate sustenance dr marathon
16663,feel well know money hand professional
16664,ook ook folk ready ape
16665,professional ape mask professional
16666,  find save future far thrilling rollercoaster
16667,wow start long time ago
16668,mmm hmm fill form sure find exciting weekend batman
16669,get new thrifty saver saving account annual interest instead normal year extra nickel
16670,get account free customize check choose hindenberg flip book series
16671,check account child bart
16672,mom handle let pay order lisa cent cent old john hancock
16673,million dollar thank bart owe
16674,uh post date check remember cash ' til year thousand
16675,excellent soon check clear let
16676,autograph krusty etc
16677,autograph get to name new sandwich restaurant
16678,okay bart share
16679,quick press ink wet
16680,need go krusty autograph easy way
16681,want cent endorse check sign monthly bank statement come check complete autograph fuss muss
16682,good plan will impress girl like
16683,lisa autograph apu autograph oh whaddaya know jimbo real corky aannnnd krusty hey cayman islands offshore hold corporation
16684,krusty suppose sign sign
16685,uh stamp check perfectly legal little boy people save time case instead write krusty stamp cayman island hold corporation hmm excuse minute
16686,internal revenue service presents herschel krustofsky clown related entertainment
16687,hey hey hey hey hey buy popcorn fair square
16688,sorry bank close oh kid gosh mean tell turn krusty big tax cheat history nail thank
16689,hero kid love krusty
16690,lady gentleman krusty clown arrest today massive tax fraud krusty year tax avoision avoision crime look evasion avoision come light crafty little boy name bart simpson
16691,tragedy kid bart beat
16692,yeah people recess tomorrow
16693,oh jail get swanky lifestyle good
16694,krusty america send celebrity jail go garnish salary
16695,joke oh know say sound crazy
16696,simply mean take salary debt repay year
16697,plan live long
16698,hey hey kid fed call shot get to lot cost effective cut frill like set prop costume sideshow mel mean fun example sure wish somebody banana cream pie yeah
16699,guess afford pie right throw
16700,um tax burger irs wich withhold lettuce dependent sized soda ficaccino
16701,fill schedule b receive burger week
16702,hey marge gambling loss year
16703,take money wreck bury bunch stink veteran family plot get memory lock safe fabulous mansion
16704,lot number handmade leather suitcase carry krustofsky family arrival ellis island priceless heirloom historic piece krustiana bid
16705,get cent sell cent
16706,  cent ach grampa zev turn grave fill veteran
16707,lot carton pornography
16708,  cent phone bidder japan advance
16709,bring dime know pornography
16710,oh beloved pornography watch anymore go bed
16711,lot krusty private plane rolla gay
16712,love plane fly vegas dean martin night look window moon hit eye like big pizza pie write song end infringe record year
16713,hey selma plane great new suitcase
16714,nah buy soak foot
16715,krusty hi okay sit
16716,ahead kid knock
16717,sorry trouble cause krusty know mom say god close door open window
16718,offense kid mom dingbat silver lining big cheese huge cheese look get to ride bus like schnook get to live apartment like idiot get to wait line nobody buy grocery failure
16719,matter live wrong long tv people respect
16720,respect good respect moolah teacher ferraris research scientist drink champagne try drink coke bus take away pass life famous clown
16721,feel well krusty punch face
16722,nah forget home kid
16723,shiva h vishnu noise come
16724,lovely evening agne suppose come cup
16725,mother superintendent chalmer
16726,interrupt awkward moment
16727,got to hand krusty
16728,yeah problem willing unbelievably dangerous entertain fan
16729,aw krusty get feeling allll right
16730,oh god krusty shoe
16731,okay folk oh god horrible plane crash hey everybody load flaming wreckage come crowd crowd shy crowd
16732,lady gentleman krusty clown dead
16733,believe krusty go
16734,worry son sure heaven right laugh celebrity john dillinger ty cobb joseph stalin wish dead
16735,gather mourn passing herschel shmoikel krustofsky beloved entertainer dear friend hello troy mcclure remember business funeral andre giant hardly know ye shemp howard today mourn stooge krusty close friend sidekick sideshow mel
16736,miss krusty sideshow sideshow bob midst sorrow comfort fact elevated blood alcohol level probably help burn quick leave earthly remain sad duty unveil simple memorial
16737,cavalcade celebrity mourners bob newhart
16738,tell truth kill time wait uh different funeral start
16739,handle bob newhart everybody
16740,bart see krusty want tell sorry cause death help tell responsible krusty death
16741,uh um start career year uh krusty learn directly think way meaningful way learn clown television year know watch thank
16742,funeral folk sit shiva friar club p m o'clock get little blue
16743,herschel krustofsky go forget today unveiling new krusty stamp postal patron ask choose compete design krusty heartwarme smile fiery death
16744,nearly vote smile krusty choose
16745,let krusty death boy people die time like wake dead tomorrow good night
16746,mom see krusty
16747,yes dear mind
16748,sweetheart maybe want krusty alive badly think go thing lyndon johnson die
16749,  pill help queasiness
16750,krusty doctor hibbert man
16751,bart tell violate patient doctor privilege tell jaspser second live
16752,go crazy see krusty
16753,ye olde toast
16754,learn live mental problem
16755,wait minute thing see connection truck net bucket queasy guy lobster point thing follow
16756,arrr get customer ishmael ahoy minnow
16757,ahoy see man
16758,arrr handsome pete dance nickel pete ye get customer
16759,look man krusty clown
16760,narrr narrr narrr
16761,hopeless bart search dock pier pier pier seventeen
16762,lisa look signature star like krusty
16763,  rory b bellow slip let
16764,quarter arrr dance hour
16765,rory b bellow
16766,krusty come exact signature
16767,rory bellow tell get lot corroborate evidence throttle
16768,know coulda say ' steada let ass
16769,hey get pacemaker scar like krusty
16770,krusty superfluous nipple
16771,will leave kid want krusty anymore fake death
16772,see plane crash
16773,hit mountain jump plane carefully place net
16774,blow cover guess get to come
16775,will come kid get sweet life sea air clear lung sun toast pale skin healthy brown important learn need money happy high living distract true calling life salvage sink barge scrap iron sorry kid leave dry land anymore
16776,krusty kid depend brighten afternoon go turn
16777,come lis krusty want attention anymore let worship somebody gut celebrity
16778,yeah krusty want clown happy blue collar bozo
16779,krusty tired have phony pretend friend sure find plenty people like
16780,happen need friend incessant beep global positioning system companionship need
16781,right admit miss phony miss shirley jones marty engle new year eve party
16782,great feeling know well regular people
16783,illiterate tv clown respected scientist doctor educator country
16784,yeahhhh go to let guy hog respect stinkin ' tub
16785,egghead want forget poindexter because krusty town
16786,krusty go to tax problem
16787,sweat life rory b bellow insure surprisingly large
16788,  fiercely determine band pioneer leave maryland misinterpret passage bible destination new sodom story
16789,hope time trade gun indians corn indians shoot take corn
16790,egad monster horrible fiend sort land cow
16791,stand fellow settler
16792,ye've save fledgling community
16793,mr springfield hope achieve greatness
16794,noble spirit embiggen small man
16795,springfield rule way springfield etc
16796,  embiggens hmm hear word move springfield
16797,know perfectly cromulent word
16798,know springfield th birthday week away class local bicentennial memorable national bicentennial course child young remember possible exception kearney
16799,tall ship lift nation spirit watergate
16800,celebrate bicentennial write essay jebediah springfield good eighteen file school library available request
16801,hey need volunteer play old timey people parade look butter churner typhoid carrier apprentice think apprentice marge
16802,town crier great
16803,yeah dad big fat loudmouth walk
16804,ah kid believe good shot
16805,dangerous river crossing threaten life limb help found father save bridge toll
16806,excuse mean startle love talk jebediah drink chicory
16807,curator hollis hurlbut
16808,hi lisa simpson research report jebediah
16809,oh treat know historian consider jebediah springfield minor patriot think find easily equal william dawes samuel otis
16810,congratulation ne new town crier
16811,shrill nasal voice ring street brain
16812,thankily dank mayor shall disappoint har ye har ye declare pickle tink springfield bicen ciddily ti toodily rin tin tennial day
16813,su diddily uck flander gimme
16814,hear ye hear ye ye olde town crier proclaim crappy chooseth homer simpson shalt rock thy world
16815,good god fabulous
16816,embiggene role cromulent performance
16817,right jebediah prove
16818,notch criering admit hat bell belong flander dice
16819,aw family heirloom stand way homer takin ' job
16820,woo hoo hear ye hear ye homer broadcasting system air holler time go to
16821,restrict cryering parade select pre approve publicity event
16822,excuse microwave johnnycake ready
16823,secret confession jebediah springfield know ye read life history record
16824,firstly tame legendary buffalo tame merely shoot secondly know jebediah springfield hans spr ngfeld murderous pirate half wit town learn truth ha ha ha ha ha ha ha
16825,  ha ha ha ha ha oh god town hero fraud write confession infamy live long body succumb infectious diphtheria
16826,heeere johnnycakes okay look bit flushed
16827,oh excitement study jebediah
16828,sound like come case jebeditis
16829,get chester arthritis
16830,hear ye hear ye breakfast
16831,understand thee marge
16832,tell jebediah springfield great crack look
16833,jebediah vicious pirate name hans spr ngfeld tongue bite turk grog house fight
16834,tongue eh talk eat laugh love
16835,prosthetic tongue silver
16836,evill man try kill george washington
16837,get white star want find red heart yellow moon green clover
16838,time hans spr ngfeld see change jebediah springfield
16839,lisa honey family come state choice live springfield stenchburg know choose springfield know jebediah springfield true american hero end story
16840,course right type thing want ground floor
16841,ralph janey lisa essay jebediah springfield superfraud f
16842,dead white male bash p c thug woman like rest land husband
16843,miss hoover think thing call p c thug
16844,call greasy thug stop hurt go to grease real good trash place baseball bat
16845,will help dad go believe
16846,proof confession jebediah fife
16847,come use baseball bat smash open case
16848,hi mr hurlbut
16849,oh bring friend
16850,town crier like ask question fife fife
16851,hey stop get respect office town crier outside jurisdiction
16852,oh yeah fife smoke
16853,jebediah secret confession prove fraud
16854,think lisa take obvious forgery unfortunately historical research plague sort hoax call confession phony howard hughes hitler diary emancipation retraction
16855,explain record jebediah hans spr ngfeld
16856,preposterous ban historical society child children ' child month
16857,go refuse believe refuse believe truth
16858,like copy goldenrod canary saffron paella
16859,oh sure believe help little guy little guy know
16860,question ridley scott james cameron
16861,thank stop peer screenplay homer movie computer threaten personal liberty know stole idea
16862,waitin ' kid
16863,hi apu poster window
16864,course little pixie woo sweet stix bear
16865,semi legal immigrant poster land predicament red hot candy bear
16866,okay go to stop know well way attention
16867,hear ye hear ye daughter tell jebediah springfield
16868,aw little cutie want cute shut ya bum shut ahead angel
16869,jebediah springfield evil blood thirsty pirate hate town
16870,good god homer y'know support prejudice hero phobia sicken daughter be welcome barney -PRON- exit
16871,  evil blood thirsty pirate hello town jubilation committee get go lot jubilant
16872,understand little girl jebediah criminal
16873,right reason silver tongue fine speaker
16874,myth get mix truth
16875,tamper force understand major corporation sponsor event
16876,hope know sponsor celebration murderous pirate
16877,pirate hardly image want long john silver
16878,way settle imprison duration bicentennial
16879,way silver tongue jebediah grave
16880,yes human decency prevent
16881,dig dig corpse love jebediah springfield haul bone ground prove daughter wrong
16882,dig grave pull tongue
16883,meeting end dig corpse
16884,lisa silver tongue stop try ruin jebediah reputation
16885,jebediah springfield replace skeleton
16886,gotcha gotcha okay ah let start look silver tongue
16887,forget look shoe lose turn shoe
16888,actually lodge sinus
16889,alright go forgive jebediah mean disrespect
16890,settle silver tongue bonesy
16891,oh wish chief kinda dough buy eyeball ha ha ha
16892,spirit bonesy sing song nice people
16893,hear ye hear ye everybody make mistake let home
16894,fast simpson foul business fault
16895,power vest strip ceremonial bell
16896,hat clean return
16897,oh dad sorry know want parade
16898,oh fault honey suppose responsible let let carry away
16899,dig bone past disturb ghost history
16900,good work expose jebediah lisa stop piece leave puzzle
16901,cause trouble general washington
16902,quitter revolution call kentuckians find little girl president friend janey number
16903,janey pack supreme court boy
16904,oh let help george washington want help
16905,  want help george washington dream square
16906,open milk mommy
16907,mommy ralph miss hoover
16908,miss piece puzzle get
16909,oh claptrap hurt jebediah childish tale pirate ship fisticuff silver tongue find
16910,lie antiquarian dammit job seek truth
16911,find truth stand devote life fraud cover
16912,tha preposterous mean
16913,stop silver tongue
16914,pry open coffin shiny tongue stick mouth razz entire career life dust settle pocket think fool
16915,realize jebediah confession say mean
16916,spr ngfeld take run fight
16917,celebration sham fault get word man woman child town
16918,stop stop stop parade
16919,lisa simpson discover important jebediah springfield need hear
16920,people springfield uh know
16921,shy little girl think jebediah words'll come
16922,lot research jebediah springfield
16923,jebediah springfield jebediah great um want research uh great
16924,say great speech jebediah proud
16925,myth jebediah value bring good town regardless say noble spirit embiggen small man
16926,hey homer good ya neighb
16927,hear ye hear ye hear ye
16928,official town crier police
16929,like madam damn good let march boy let man march
16930,test testing mr burn sir warm crowd
16931,welcome employee come night entertainment monty burn
16932,welcome evening exciting quarter mile action
16933,race benefit daredevil lance murdock hospitalize cirrhosis liver
16934,boy sure fun carpool huh kid real hot rod mama huh huh
16935,miss race mama
16936,wish pay attention
16937,smither beer work feel young funky
16938,switch tablespoon sir
16939,come feature race nuclear power plant championship
16940,ah smither fetch bi oculars
16941,damnation tell slow
16942,hi guy gear couple lap
16943,oh novelty foam hand ludicrously oversized swap small
16944,bit ostentatious sir right
16945,hey burnsie ha swell shindig thank
16946,great time want shake hand
16947,see murderous glint eye smither breath reek beer pretzeld bread
16948,sorry mr burn fault
16949,oh concern thing turn ugly mace
16950,let hook easily sir fail forgive
16951,good morning sir failure night alphabetize breakfast start waffle work way zwieback prevent newsprint rub hand laminate today newspaper
16952,appreciate thought pen will write suppose junior jumble
16953,oh grovel properly buffoon deserve live planet anymore
16954,pull man dare need long vacation
16955,vacation wither die
16956,tchah baby need nursemaid burp insist vacation soon temporary substitute find
16957,get find replacement will outshine search employee evaluation word incompetent
16958,  name huh better specific lazy clumsy dimwitte monstrously ugly
16959,aw nut homer simpson
16960,think smither pick motivational skill say work lot hard
16961,know dad assist mr burns career real shot arm
16962,know homer assist mr burns career real shot arm
16963,mo omm say
16964,sor ry time darn corn
16965,um chair sit
16966,yah realize care mr burns like big job actually small job
16967,uh huh chair right
16968,new duty include answer mr burns ' phone prepare tax return moisten eyeball assist chew swallow lie congress light type
16969,montgomery burns ' office oh hello mrs burns son available
16970,mr burns mother million year old
16971,limit capacity dial yell
16972,sorry monty come phone right important meeting disturb
16973,dough nuts tell like ethnic food
16974,tell stock yesterday
16975,uh huh okay message mr burns stand talk mother forgive have affair president taft
16976,heh heh taft old dog
16977,smither fine sure replacement able handle
16978,uh homer simpson sir organ bank sector g recent event life revolve way
16979,uh mr smither understand new duty
16980,van leaving duty give trouble
16981,um case fire
16982,sorry hear bye bye
16983,good lord smither look atrocious think tell vacation
16984,uh smither leave sir replacement homer simpson
16985,ah yes simpson lunch single pillow shredded wheat steamed toast dodo egg
16986,think dodo go extinct
16987,go answer phone install computer system rotate office window face hill
16988,uh huh uh huh okay um repeat stuff say thing thing
16989,lousy legged pant
16990,homie morning little rascal ' til
16991,know tape want mr burns ' house bright early breakfast
16992,ah poor homie poor poor
16993,hmmm breakfast maker
16994,job cook breakfast go to cook good damn breakfast eat
16995,scrub hard get layer dead skin
16996,think fang today
16997,report accounting department
16998,accounting department locate floor hour m p m head department mr johnson johnstone
16999,message minute car minute car impound car crush cube minute cube
17000,hello mr burns ' office
17001,mr smither call
17002,go sir lot free time hand feed ex'd mail happy open return
17003,fine smither simpson fellow get dumb minute see like anyhoo enjoy vacation
17004,look alive simpson pay goldbrick
17005,crack long division forget work simpson
17006,desk morning sir
17007,bart leave simpson
17008,simpson need ride library
17009,kid stop exploit father homie lie relax
17010,time marge think mr burns want long division
17011,sorry need good night rest
17012,telephone ring time answer
17013,mr burns ring right simpson
17014,drive distraction incompetent boobery terrible complete moron free talk right
17015,look stop call start enjoy vacation remember want lot picture
17016,ah actually sir picture taking allow particular resort whoop get line form
17017,  watt think tanning salon
17018,ask light starch nightcap
17019,travesty truke assistant
17020,punch mr burns right year old face
17021,sure dead maybe hurt
17022,okay maybe right maybe apologize will fire alive
17023,sorry hit mr burns let salt eye
17024,bear thrashing leave
17025,smither protect beast
17026,see people activate machine thousand time trick let smither s m t h e r s success ring
17027,look mr smither waylon
17028,oh look mr smither eh waylon listen catch go pull eye shove -PRON- pant watch kick crap okay go use tongue paint boat
17029,oh smither hear
17030,tell mr burns need
17031,praise god think thug finally go home day
17032,hi mr burns want coffee
17033,uh uh make
17034,hear percolation imminent need come cease ingress
17035,stay homer approach coffee stomp bean
17036,drive home mr burn o'clock
17037,think think uh chauffeur evening yes think difficult sure manual indicate lever velocitator deceleratrix
17038,believe life avoid thing actually enjoy plus make incredible time
17039,beep beep way motorist
17040,ahh nice reckless driving mr b
17041,like shred environmental report sir
17042,ahoy hoy wrong number suspect need practice work telephone machine ahoy
17043,homer man brutal attack force fend realize wait hand foot okay average joe want thank
17044,thank thank thank
17045,oh god know leave
17046,ah welcome smither know homer simpson pitch office away bang job simpson guess trusty post sector g
17047,hear man simpson
17048,ah dear dear smither long need fire ta
17049,go away vacation
17050,feel terrible get mr smither fire job imagine feel marge get fire thing
17051,quick mom whip cake dad fire
17052,worry dad mr smither resilient man sure great job corporation want
17053,meet new piano mover
17054,go steel rod spine
17055,oh goodness gracious
17056,ready exciting quarter mile action springfield dragstrip motorize mayhem need mayhem right fair suppose know business ready fun people need hustle like hey let throw
17057,uh hello help want sign window
17058,uh yeah need help midnight beer delivery job distract barney safely truck
17059,look forward work
17060,mr smither wait
17061,let end place like get choice barney guard job like contemplate dark moment admit person happy take
17062,right go need help
17063,beer delivery sign oh
17064,okay gotcha covered
17065,mr burns master duty wager dollar donut handle mother
17066,hello mrs burn waylon smither son montgomery line
17067,improvident lackwit busy stride atom mill mother for till cry brassafrax
17068,perfect signal transfer mr burn tear rush save day
17069,transfer mr burns
17070,ahoy hoy hoy
17071,hello mr burns mother
17072,gah oh hello mater uh sorry pull plug know pull live decade oh face red
17073,mrs burns year old try sound desiccated son mr burns
17074,son mrs burns call love bad son montel
17075,impersonate mother smither glad fire
17076,blow time smither
17077,stop stop fight
17078,stop fight like girl simpson
17079,teach use phone boob
17080,come endangered condor power line
17081,get bobo hot dryer careful burn eye
17082,need totally self sufficient like spanish peanut
17083,remarkable thing short time go learn completely self reli
17084,  ant oh brutish fellow knock window get come
17085,knock mr burn story window
17086,return hour itchy scratchy diamond jubilee marathon celebrate year rib tickle brutality hilarious atrocity
17087,lisa stop love violence want shoot
17088,tonight stow away bear terrorize space shuttle astronaut sneak peek tomorrow itchy scratchy parade
17089,hello everybody live main street dedicated fan stake good seat big anniversary parade
17090,bye mom bye dad
17091,bye kid way pick pack beer
17092,bart lisa o'clock night think go
17093,get seat itchy scratchy parade
17094,shhh teddy roosevelt
17095,will child sit cold dangerous street night homer
17096,hey comic book store open
17097,hey sister gimme chance
17098,hey thread baby
17099,come see itchy scratchy
17100,pre pubescent ignoramus bootleg copy itchy scratchy meet fritz cat frank depiction sex narcotic consumption infantile intellect toodle ooo
17101,creator hi lois make laugh drawing worth exactly dollar american
17102,oooh power deduction exceptional simply allow waste crime go unsolved moment good city
17103,represent float roger myers sr found company strike big team mouse name itchy cat name scratchy
17104,create comical character thought pluck head
17105,man wave float son roger myers jr fun life dave
17106,oh forget outta
17107,parade enter bumtown oh exciting dave
17108,certainly poorly plan parade route
17109,outta bumtown ya talent bum
17110,respect man talent create itchy scratchy
17111,steal character complain thug kick office drop anvil luckily carry umbrella time
17112,invent itchy itchy scratchy itchy
17113,sure fact invent concept cartoon violence come cartoon animal play ukulele change
17114,call liar think way finish sentence
17115,itchy lucky mouse manhattan madness
17116,itchy cartoon chester j lampwick find ninety year old projector prove
17117,itchy run afoul irishman
17118,look itchy irish
17119,come itchy kill kill guy
17120,look fat oaf
17121,believe itchy right invent people rich famous
17122,nice film time try impress year old ya kid
17123,gutter create itchy millionaire
17124,eh roger myers cent twenty
17125,ask roger myers sr money roger myers jr charge studio good man christmas go pound rescue cat mouse give hungry family
17126,studio close tuesday animators aa monday
17127,hmm stay house parent will mind will know
17128,right coast clear
17129,mom weird smell lot cursing come basement dad upstairs
17130,oh bart mysterious stranger
17131,regular bum mom genius bum create itchy father cartoon violence
17132,need stay till tomorrow go itchy scratchy studio pick check
17133,crush opposition ted kennedy pay fight gay
17134,  billion dollar
17135,bring lot memory
17136,right gentleman case go ask retainer
17137,  ad say money
17138,work contingency basis
17139,money oop bar association logo
17140,right wait minute
17141,pay lawyer bum
17142,think recognize give plate corn muffin paint chicken coop
17143,corn muffin lousy
17144,paint chicken coop
17145,b u m
17146,wait wait wait wait wait easy way rid chester guilt send gutter
17147,notice mr myers ' copyright notice original drawing member itchy scratchy family brown nose bear disgruntle goat flatulent fox rich uncle skeleton dinner dog
17148,client film predate thing honor
17149,oh yes forget famous film destroy trial able find copy oh yes film
17150,krusty see call animation genius
17151,give couple blintze paint fence
17152,order order care blintze
17153,mr lampwick roger myers steal character
17154,oof hear objection sustain time today think go scream
17155,roger myers create character steal
17156,character myer come pathetic stick figure word sarcastic horse manic mailman print
17157,stank start steal people character
17158,say oath mr myers father steal character associate studio
17159,good news amendment ratify ya u s constitution
17160,mr hutz hour evidence
17161,honor get plenty hearsay conjecture kind evidence
17162,trial go right
17163,honor like surprise witness
17164,know see exact scene movie mr lampwick show lady gentleman drawing year roger myers itchy scratchy cartoon
17165,draw time honor signature date
17166,look frame brad
17167,hmmm roger myers draw moxie make lack talent pal chester j lampwick sept
17168,oh yeah door open boy
17169,court rule favor mr lampwick itchy scratchy studio pay restitution billion dollar probably come bit appeal
17170,kill itchy scratchy
17171,good riddance wanna celebrate feel like liver onion
17172,go money mr lampwick
17173,hire lawyer drawing couple buck trouble
17174,woo hoo look marge couple buck
17175,rest go buy thing dream year spend gutter solid gold house
17176,hey leave garbage step congress
17177,garbage amendment yes amendment hope ratify lot flag burner get freedom want legal policeman beat -PRON- because limit liberty hope pray because liberal freak far
17178,law flag burning
17179,law unconstitutional change constitution
17180,  sort crazy law
17181,campy throwback appeal generation x'er
17182,need vietnam thin rank little
17183,people good constitution
17184,true cartoon encourage violence
17185,ow get to itchy scratchy
17186,get itchy scratchy cartoon
17187,judge say okay long pay mr lampwick royalty
17188,look money problem know guy lot
17189,shoe shine sir comb hair sir
17190,sir sir sir
17191,okay catch way oh hi kid
17192,hi chester listen pay itchy scratchy cartoon
17193,need money greedy long get health million dollar gold house rocket car need
17194,lisa want finance series animate cartoon
17195,yeah agree wanna start try apu jail
17196,yes technically work right
17197,solve problem lisa unsettling
17198,wait kid itchy scratchy good thing reunite krusty father get principal skinner job help dr riviera perform open heart surgery father foiled sideshow bob separate occasion evil genius
17199,right mom sure mind solve
